SSN Prefix,Years Issued
494-76-####,1977-unknown
494-78-####,1977-unknown
494-80-####,1978-1979
494-82-####,1980-unknown
494-84-####,1981-1982
494-86-####,1983-unknown
494-88-####,1984-unknown
494-90-####,1985-unknown
494-92-####,1986-unknown
494-94-####,1987-unknown
494-96-####,1988-unknown
494-98-####,1989-1992
495-01-####,1936-1950
495-02-####,1989-1992
495-03-####,1936-1950
495-04-####,1989-1992
495-05-####,1936-1950
495-06-####,1989-1992
495-07-####,1936-1950
495-08-####,1994-unknown
495-09-####,1936-1950
495-10-####,1936-1950
495-11-####,1995-unknown
495-12-####,1936-1950
495-13-####,1997-1998
495-14-####,1936-1950
495-15-####,1999-unknown
495-16-####,1936-1950
495-17-####,2000-2001
495-18-####,1936-1950
495-19-####,2002-2004
495-20-####,1936-1950
495-21-####,2004-2005
495-22-####,1936-1950
495-23-####,2005-2007
495-24-####,1936-1950
495-25-####,2007-2009
495-26-####,1936-1950
495-27-####,2009-2010
495-28-####,1936-1950
495-29-####,2010-2011
495-30-####,1936-1950
495-32-####,1936-1950
495-34-####,1936-1950
495-36-####,1951-unknown
495-38-####,1952-1953
495-40-####,1954-1955
495-42-####,1956-unknown
495-44-####,1957-1958
495-46-####,1959-1960
495-48-####,1961-1962
495-50-####,1963-unknown
495-52-####,1964-unknown
495-54-####,1965-unknown
495-56-####,1966-unknown
495-58-####,1967-1968
495-60-####,1969-unknown
495-62-####,1970-unknown
495-64-####,1971-unknown
495-66-####,1972-unknown
495-68-####,1973-unknown
495-70-####,1973-unknown
495-72-####,1974-unknown
495-74-####,1975-1976
495-76-####,1977-unknown
495-78-####,1977-unknown
495-80-####,1978-1979
495-82-####,1980-unknown
495-84-####,1981-1982
495-86-####,1983-unknown
495-88-####,1984-unknown
495-90-####,1985-1986
495-92-####,1987-unknown
495-94-####,1987-unknown
495-96-####,1988-unknown
495-98-####,1989-1992
496-01-####,1936-1950
496-02-####,1989-1992
496-03-####,1936-1950
496-04-####,1989-1992
496-05-####,1936-1950
496-06-####,1989-1992
496-07-####,1936-1950
496-08-####,1994-unknown
496-09-####,1936-1950
496-10-####,1936-1950
496-11-####,1995-unknown
496-12-####,1936-1950
496-13-####,1997-1998
496-14-####,1936-1950
496-15-####,1999-unknown
496-16-####,1936-1950
496-17-####,2001-unknown
496-18-####,1936-1950
496-19-####,2002-2004
496-20-####,1936-1950
496-21-####,2004-2006
496-22-####,1936-1950
496-23-####,2006-2007
496-24-####,1936-1950
496-25-####,2007-2009
496-26-####,1936-1950
496-27-####,2009-2010
496-28-####,1936-1950
496-29-####,2010-2011
496-30-####,1936-1950
496-32-####,1936-1950
496-34-####,1936-1950
496-36-####,1951-1952
496-38-####,1953-1954
496-40-####,1955-unknown
496-42-####,1956-unknown
496-44-####,1957-1959
496-46-####,1960-unknown
496-48-####,1961-1962
496-50-####,1963-unknown
496-52-####,1964-unknown
496-54-####,1965-unknown
496-56-####,1966-unknown
496-58-####,1967-1968
496-60-####,1969-unknown
496-62-####,1970-unknown
496-64-####,1971-unknown
496-66-####,1972-unknown
496-68-####,1973-unknown
496-70-####,1974-unknown
496-72-####,1974-unknown
496-74-####,1975-1976
496-76-####,1977-unknown
496-78-####,1977-unknown
496-80-####,1978-1979
496-82-####,1980-unknown
496-84-####,1981-1982
496-86-####,1983-unknown
496-88-####,1984-unknown
496-90-####,1985-1986
496-92-####,1987-unknown
496-94-####,1987-unknown
496-96-####,1988-unknown
496-98-####,1989-1992
497-01-####,1936-1950
497-02-####,1989-1992
497-03-####,1936-1950
497-04-####,1989-1992
497-05-####,1936-1950
497-06-####,1989-1992
497-07-####,1936-1950
497-08-####,1994-unknown
497-09-####,1936-1950
497-10-####,1936-1950
497-11-####,1995-unknown
497-12-####,1936-1950
497-13-####,1997-1998
497-14-####,1936-1950
497-15-####,1999-unknown
497-16-####,1936-1950
497-17-####,2001-unknown
497-18-####,1936-1950
497-19-####,2002-2004
497-20-####,1936-1950
497-21-####,2004-2006
497-22-####,1936-1950
497-23-####,2006-2007
497-24-####,1936-1950
497-25-####,2007-2009
497-26-####,1936-1950
497-27-####,2009-2011
497-28-####,1936-1950
497-29-####,2011-unknown
497-30-####,1936-1950
497-32-####,1936-1950
497-34-####,1936-1950
497-36-####,1951-1952
497-38-####,1953-1954
497-40-####,1955-unknown
497-42-####,1956-unknown
497-44-####,1957-1959
497-46-####,1960-1961
497-48-####,1962-unknown
497-50-####,1963-unknown
497-52-####,1964-unknown
497-54-####,1965-unknown
497-56-####,1966-unknown
497-58-####,1967-1968
497-60-####,1969-unknown
497-62-####,1970-unknown
497-64-####,1971-unknown
497-66-####,1972-unknown
497-68-####,1973-unknown
497-70-####,1974-unknown
497-72-####,1974-unknown
497-74-####,1975-1976
497-76-####,1977-unknown
497-78-####,1977-unknown
497-80-####,1978-1979
497-82-####,1980-unknown
497-84-####,1981-1982
497-86-####,1983-unknown
497-88-####,1984-unknown
497-90-####,1985-1986
497-92-####,1987-unknown
497-94-####,1987-unknown
497-96-####,1988-unknown
497-98-####,1989-1992
498-01-####,1936-1950
498-02-####,1989-1992
498-03-####,1936-1950
498-04-####,1989-1992
498-05-####,1936-1950
498-06-####,1989-1992
498-07-####,1936-1950
498-08-####,1994-unknown
498-09-####,1936-1950
498-10-####,1936-1950
498-11-####,1996-unknown
498-12-####,1936-1950
498-13-####,1997-1998
498-14-####,1936-1950
498-15-####,1999-unknown
498-16-####,1936-1950
498-17-####,2001-unknown
498-18-####,1936-1950
498-19-####,2003-2004
498-20-####,1936-1950
498-21-####,2004-2006
498-22-####,1936-1950
498-23-####,2006-2007
498-24-####,1936-1950
498-25-####,2007-2009
498-26-####,1936-1950
498-27-####,2009-2011
498-28-####,1936-1950
498-29-####,2011-unknown
498-30-####,1936-1950
498-32-####,1936-1950
498-34-####,1936-1950
498-36-####,1951-1952
498-38-####,1953-1954
498-40-####,1955-unknown
498-42-####,1956-unknown
498-44-####,1957-1959
498-46-####,1960-1961
498-48-####,1962-unknown
498-50-####,1963-unknown
498-52-####,1964-unknown
498-54-####,1965-unknown
498-56-####,1966-unknown
498-58-####,1967-1968
498-60-####,1969-unknown
498-62-####,1970-unknown
498-64-####,1971-unknown
498-66-####,1972-unknown
498-68-####,1973-unknown
498-70-####,1974-unknown
498-72-####,1975-unknown
498-74-####,1975-1976
498-76-####,1977-unknown
498-78-####,1977-unknown
498-80-####,1978-1979
498-82-####,1980-unknown
498-84-####,1981-1982
498-86-####,1983-unknown
498-88-####,1984-unknown
498-90-####,1985-1986
498-92-####,1987-unknown
498-94-####,1987-unknown
498-96-####,1988-unknown
498-98-####,1989-1992
499-01-####,1936-1950
499-02-####,1989-1992
499-03-####,1936-1950
499-04-####,1989-1992
499-05-####,1936-1950
499-06-####,1989-1992
499-07-####,1936-1950
499-08-####,1994-unknown
499-09-####,1936-1950
499-10-####,1936-1950
499-11-####,1996-unknown
499-12-####,1936-1950
499-13-####,1997-1998
499-14-####,1936-1950
499-15-####,1999-unknown
499-16-####,1936-1950
499-17-####,2001-2003
499-18-####,1936-1950
499-19-####,2003-2004
499-20-####,1936-1950
499-21-####,2004-2006
499-22-####,1936-1950
499-23-####,2006-2008
499-24-####,1936-1950
499-25-####,2008-2009
499-26-####,1936-1950
499-27-####,2009-2011
499-28-####,1936-1950
499-29-####,2011-unknown
499-30-####,1936-1950
499-32-####,1936-1950
499-34-####,1936-1950
499-36-####,1951-1952
499-38-####,1953-1954
499-40-####,1955-unknown
499-42-####,1956-1957
499-44-####,1958-1959
499-46-####,1960-1961
499-48-####,1962-unknown
499-50-####,1963-unknown
499-52-####,1964-unknown
499-54-####,1965-unknown
499-56-####,1966-1967
499-58-####,1968-unknown
499-60-####,1969-unknown
499-62-####,1970-unknown
499-64-####,1971-unknown
499-66-####,1972-unknown
499-68-####,1973-unknown
499-70-####,1974-unknown
499-72-####,1975-unknown
499-74-####,1975-1976
499-76-####,1977-unknown
499-78-####,1977-unknown
499-80-####,1978-1979
499-82-####,1980-1981
499-84-####,1982-unknown
499-86-####,1983-unknown
499-88-####,1984-1985
499-90-####,1986-unknown
499-92-####,1987-unknown
499-94-####,1987-unknown
499-96-####,1988-unknown
499-98-####,1989-1992
500-01-####,1936-1950
500-02-####,1989-1992
500-03-####,1936-1950
500-04-####,1989-1992
500-05-####,1936-1950
500-06-####,1989-1992
500-07-####,1936-1950
500-08-####,1994-unknown
500-09-####,1936-1950
500-10-####,1936-1950
500-11-####,1996-1998
500-12-####,1936-1950
500-13-####,1998-unknown
500-14-####,1936-1950
500-15-####,1999-2000
500-16-####,1936-1950
500-17-####,2001-unknown
500-18-####,1936-1950
500-19-####,2003-2004
500-20-####,1936-1950
500-21-####,2004-2006
500-22-####,1936-1950
500-23-####,2006-2008
500-24-####,1936-1950
500-25-####,2008-2009
500-26-####,1936-1950
500-27-####,2009-2011
500-28-####,1936-1950
500-29-####,2011-unknown
500-30-####,1936-1950
500-32-####,1936-1950
500-34-####,1936-1950
500-36-####,1951-1952
500-38-####,1953-1954
500-40-####,1955-unknown
500-42-####,1956-1957
500-44-####,1958-1959
500-46-####,1960-1961
500-48-####,1962-unknown
500-50-####,1963-unknown
500-52-####,1964-unknown
500-54-####,1965-unknown
500-56-####,1966-1967
500-58-####,1968-unknown
500-60-####,1969-unknown
500-62-####,1970-unknown
500-64-####,1971-unknown
500-66-####,1972-unknown
500-68-####,1973-unknown
500-70-####,1974-unknown
500-72-####,1975-1976
500-74-####,1977-unknown
500-76-####,1977-unknown
500-78-####,1977-1978
500-80-####,1979-unknown
500-82-####,1980-1981
500-84-####,1982-unknown
500-86-####,1983-unknown
500-88-####,1984-1985
500-90-####,1986-unknown
500-92-####,1987-unknown
500-94-####,1987-unknown
500-96-####,1988-unknown
500-98-####,1989-1992
