SSN Prefix,Years Issued
170-76-####,1995-1998
170-78-####,1998-unknown
170-80-####,2001-2004
170-82-####,2004-2007
170-84-####,2007-2010
170-86-####,2010-2011
171-01-####,1936-1950
171-03-####,1936-1950
171-05-####,1936-1950
171-07-####,1936-1950
171-09-####,1936-1950
171-10-####,1936-1950
171-12-####,1936-1950
171-14-####,1936-1950
171-16-####,1936-1950
171-18-####,1936-1950
171-20-####,1936-1950
171-22-####,1936-1950
171-24-####,1936-1950
171-26-####,1936-1950
171-28-####,1951-1952
171-30-####,1953-1955
171-32-####,1956-1958
171-34-####,1959-1961
171-36-####,1962-unknown
171-38-####,1963-1964
171-40-####,1965-unknown
171-42-####,1966-1967
171-44-####,1968-unknown
171-46-####,1969-1970
171-48-####,1971-1972
171-50-####,1973-unknown
171-52-####,1973-1974
171-54-####,1975-unknown
171-56-####,1976-unknown
171-58-####,1977-1978
171-60-####,1979-1980
171-62-####,1981-1983
171-64-####,1984-1985
171-66-####,1986-unknown
171-68-####,1987-1988
171-70-####,1989-1992
171-72-####,1989-1992
171-74-####,1989-1992
171-76-####,1995-1998
171-78-####,1998-unknown
171-80-####,2001-2004
171-82-####,2004-2007
171-84-####,2007-2010
171-86-####,2010-2011
172-01-####,1936-1950
172-03-####,1936-1950
172-05-####,1936-1950
172-07-####,1936-1950
172-09-####,1936-1950
172-10-####,1936-1950
172-12-####,1936-1950
172-14-####,1936-1950
172-16-####,1936-1950
172-18-####,1936-1950
172-20-####,1936-1950
172-22-####,1936-1950
172-24-####,1936-1950
172-26-####,1936-1950
172-28-####,1951-1953
172-30-####,1954-1955
172-32-####,1956-1958
172-34-####,1959-1961
172-36-####,1962-unknown
172-38-####,1963-1964
172-40-####,1965-unknown
172-42-####,1966-1967
172-44-####,1968-unknown
172-46-####,1969-1970
172-48-####,1971-1972
172-50-####,1973-unknown
172-52-####,1973-1974
172-54-####,1975-unknown
172-56-####,1976-unknown
172-58-####,1977-1978
172-60-####,1979-1980
172-62-####,1981-1983
172-64-####,1984-1985
172-66-####,1986-unknown
172-68-####,1987-1988
172-70-####,1989-1992
172-72-####,1989-1992
172-74-####,1993-unknown
172-76-####,1995-1998
172-78-####,1998-unknown
172-80-####,2001-2004
172-82-####,2004-2007
172-84-####,2007-2010
172-86-####,2010-2011
173-01-####,1936-1950
173-03-####,1936-1950
173-05-####,1936-1950
173-07-####,1936-1950
173-09-####,1936-1950
173-10-####,1936-1950
173-12-####,1936-1950
173-14-####,1936-1950
173-16-####,1936-1950
173-18-####,1936-1950
173-20-####,1936-1950
173-22-####,1936-1950
173-24-####,1936-1950
173-26-####,1936-1950
173-28-####,1951-1953
173-30-####,1954-1955
173-32-####,1956-1958
173-34-####,1959-1961
173-36-####,1962-unknown
173-38-####,1963-1964
173-40-####,1965-unknown
173-42-####,1966-1967
173-44-####,1968-unknown
173-46-####,1969-1970
173-48-####,1971-1972
173-50-####,1973-unknown
173-52-####,1974-unknown
173-54-####,1975-unknown
173-56-####,1976-unknown
173-58-####,1977-1978
173-60-####,1979-1980
173-62-####,1981-1983
173-64-####,1984-1985
173-66-####,1986-unknown
173-68-####,1987-1988
173-70-####,1989-1992
173-72-####,1989-1992
173-74-####,1993-unknown
173-76-####,1995-1998
173-78-####,1998-unknown
173-80-####,2001-2004
173-82-####,2004-2007
173-84-####,2007-2010
173-86-####,2010-2011
174-01-####,1936-1950
174-03-####,1936-1950
174-05-####,1936-1950
174-07-####,1936-1950
174-09-####,1936-1950
174-10-####,1936-1950
174-12-####,1936-1950
174-14-####,1936-1950
174-16-####,1936-1950
174-18-####,1936-1950
174-20-####,1936-1950
174-22-####,1936-1950
174-24-####,1936-1950
174-26-####,1936-1950
174-28-####,1951-1953
174-30-####,1954-1955
174-32-####,1956-1958
174-34-####,1959-1961
174-36-####,1962-unknown
174-38-####,1963-1964
174-40-####,1965-unknown
174-42-####,1966-1967
174-44-####,1968-1969
174-46-####,1970-unknown
174-48-####,1971-1972
174-50-####,1973-unknown
174-52-####,1974-unknown
174-54-####,1975-unknown
174-56-####,1976-unknown
174-58-####,1977-1978
174-60-####,1979-1980
174-62-####,1981-1982
174-64-####,1983-1985
174-66-####,1986-unknown
174-68-####,1987-1988
174-70-####,1989-1992
174-72-####,1989-1992
174-74-####,1993-unknown
174-76-####,1995-1998
174-78-####,1998-unknown
174-80-####,2001-2004
174-82-####,2004-2007
174-84-####,2007-2010
174-86-####,2010-2011
175-01-####,1936-1950
175-03-####,1936-1950
175-05-####,1936-1950
175-07-####,1936-1950
175-09-####,1936-1950
175-10-####,1936-1950
175-12-####,1936-1950
175-14-####,1936-1950
175-16-####,1936-1950
175-18-####,1936-1950
175-20-####,1936-1950
175-22-####,1936-1950
175-24-####,1936-1950
175-26-####,1936-1950
175-28-####,1951-1953
175-30-####,1954-1955
175-32-####,1956-1958
175-34-####,1959-1961
175-36-####,1962-unknown
175-38-####,1963-1964
175-40-####,1965-unknown
175-42-####,1966-1967
175-44-####,1968-1969
175-46-####,1970-unknown
175-48-####,1971-1972
175-50-####,1973-unknown
175-52-####,1974-unknown
175-54-####,1975-unknown
175-56-####,1976-unknown
175-58-####,1977-1978
175-60-####,1979-1981
175-62-####,1982-1983
175-64-####,1984-1985
175-66-####,1986-unknown
175-68-####,1987-1988
175-70-####,1989-1992
175-72-####,1989-1992
175-74-####,1993-unknown
175-76-####,1995-1998
175-78-####,1998-unknown
175-80-####,2001-2004
175-82-####,2004-2007
175-84-####,2007-2010
175-86-####,2010-2011
176-01-####,1936-1950
176-03-####,1936-1950
176-05-####,1936-1950
176-07-####,1936-1950
176-09-####,1936-1950
